frame_id,relative_path,reason
4992,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213174200_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213174200_12.2_54.2_73.0_135.0.png'
4993,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213174800_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213174800_12.2_54.2_73.0_135.0.png'
4994,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213175400_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213175400_12.2_54.2_73.0_135.0.png'
4995,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213180000_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213180000_12.2_54.2_73.0_135.0.png'
4996,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213180600_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213180600_12.2_54.2_73.0_135.0.png'
4997,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213181200_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213181200_12.2_54.2_73.0_135.0.png'
4998,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213181800_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213181800_12.2_54.2_73.0_135.0.png'
4999,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213182400_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213182400_12.2_54.2_73.0_135.0.png'
5000,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213183000_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213183000_12.2_54.2_73.0_135.0.png'
5001,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213183600_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213183600_12.2_54.2_73.0_135.0.png'
